source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell line]	characteristics[cell type]	characteristics[biological replicate]	material type	assay name	technology type	comment[instrument]	comment[label]	comment[fraction identifier]	comment[proteomics data acquisition method]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[technical replicate]	comment[data file]	factor value[cell type]
MSV000093870-SC-0038	homo sapiens	ovary	not applicable	not applicable	oocyte	38	cell	wAP0034_mTRAQ4	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	AC=UNIMOD:889;NT=MTRAQ4	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	not available	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=PRIDE:0000590	5 ppm	10 ppm	1	wAP0034.raw	oocyte
MSV000093870-SC-0039	homo sapiens	ovary	not applicable	not applicable	oocyte	39	cell	wAP0034_mTRAQ8	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	AC=UNIMOD:1302;NT=MTRAQ8	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	not available	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=PRIDE:0000590	5 ppm	10 ppm	1	wAP0034.raw	oocyte
MSV000093870-SC-0040	homo sapiens	ovary	not applicable	not applicable	oocyte	40	cell	wAP0035_mTRAQ0	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	AC=UNIMOD:888;NT=MTRAQ0	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	not available	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=PRIDE:0000590	5 ppm	10 ppm	1	wAP0035.raw	oocyte
MSV000093870-SC-0041	homo sapiens	ovary	not applicable	not applicable	oocyte	41	cell	wAP0035_mTRAQ4	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	AC=UNIMOD:889;NT=MTRAQ4	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	not available	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=PRIDE:0000590	5 ppm	10 ppm	1	wAP0035.raw	oocyte
MSV000093870-SC-0042	homo sapiens	ovary	not applicable	not applicable	oocyte	42	cell	wAP0035_mTRAQ8	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	AC=UNIMOD:1302;NT=MTRAQ8	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	not available	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=PRIDE:0000590	5 ppm	10 ppm	1	wAP0035.raw	oocyte
MSV000093870-SC-0043	homo sapiens	ovary	not applicable	not applicable	oocyte	43	cell	wAP0036_mTRAQ0	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	AC=UNIMOD:888;NT=MTRAQ0	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	not available	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=PRIDE:0000590	5 ppm	10 ppm	1	wAP0036.raw	oocyte
MSV000093870-SC-0044	homo sapiens	ovary	not applicable	not applicable	oocyte	44	cell	wAP0036_mTRAQ4	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	AC=UNIMOD:889;NT=MTRAQ4	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	not available	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=PRIDE:0000590	5 ppm	10 ppm	1	wAP0036.raw	oocyte
MSV000093870-SC-0045	homo sapiens	ovary	not applicable	not applicable	oocyte	45	cell	wAP0036_mTRAQ8	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	AC=UNIMOD:1302;NT=MTRAQ8	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	not available	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=PRIDE:0000590	5 ppm	10 ppm	1	wAP0036.raw	oocyte
MSV000093870-SC-0046	homo sapiens	ovary	not applicable	not applicable	oocyte	46	cell	wAP0037_mTRAQ0	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	AC=UNIMOD:888;NT=MTRAQ0	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	not available	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=PRIDE:0000590	5 ppm	10 ppm	1	wAP0037.raw	oocyte
MSV000093870-SC-0047	homo sapiens	ovary	not applicable	not applicable	oocyte	47	cell	wAP0037_mTRAQ4	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	AC=UNIMOD:889;NT=MTRAQ4	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	not available	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=PRIDE:0000590	5 ppm	10 ppm	1	wAP0037.raw	oocyte
MSV000093870-SC-0048	homo sapiens	ovary	not applicable	not applicable	oocyte	48	cell	wAP0037_mTRAQ8	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	AC=UNIMOD:1302;NT=MTRAQ8	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	not available	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=PRIDE:0000590	5 ppm	10 ppm	1	wAP0037.raw	oocyte
MSV000093870-SC-0049	homo sapiens	ovary	not applicable	not applicable	oocyte	49	cell	wAP0038_mTRAQ0	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	AC=UNIMOD:888;NT=MTRAQ0	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	not available	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=PRIDE:0000590	5 ppm	10 ppm	1	wAP0038.raw	oocyte
MSV000093870-SC-0050	homo sapiens	ovary	not applicable	not applicable	oocyte	50	cell	wAP0038_mTRAQ4	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	AC=UNIMOD:889;NT=MTRAQ4	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	not available	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=PRIDE:0000590	5 ppm	10 ppm	1	wAP0038.raw	oocyte
MSV000093870-SC-0051	homo sapiens	ovary	not applicable	not applicable	oocyte	51	cell	wAP0038_mTRAQ8	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	AC=UNIMOD:1302;NT=MTRAQ8	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	not available	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=PRIDE:0000590	5 ppm	10 ppm	1	wAP0038.raw	oocyte
MSV000093870-SC-0052	homo sapiens	ovary	not applicable	not applicable	oocyte	52	cell	wAP0039_mTRAQ0	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	AC=UNIMOD:888;NT=MTRAQ0	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	not available	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=PRIDE:0000590	5 ppm	10 ppm	1	wAP0039.raw	oocyte
MSV000093870-SC-0053	homo sapiens	ovary	not applicable	not applicable	oocyte	53	cell	wAP0039_mTRAQ4	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	AC=UNIMOD:889;NT=MTRAQ4	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	not available	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=PRIDE:0000590	5 ppm	10 ppm	1	wAP0039.raw	oocyte
MSV000093870-SC-0054	homo sapiens	ovary	not applicable	not applicable	oocyte	54	cell	wAP0039_mTRAQ8	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	AC=UNIMOD:1302;NT=MTRAQ8	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	not available	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=PRIDE:0000590	5 ppm	10 ppm	1	wAP0039.raw	oocyte
MSV000093870-SC-0055	homo sapiens	ovary	not applicable	not applicable	oocyte	55	cell	wAP0040_mTRAQ0	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	AC=UNIMOD:888;NT=MTRAQ0	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	not available	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=PRIDE:0000590	5 ppm	10 ppm	1	wAP0040.raw	oocyte
MSV000093870-SC-0056	homo sapiens	ovary	not applicable	not applicable	oocyte	56	cell	wAP0040_mTRAQ4	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	AC=UNIMOD:889;NT=MTRAQ4	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	not available	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=PRIDE:0000590	5 ppm	10 ppm	1	wAP0040.raw	oocyte
MSV000093870-SC-0057	homo sapiens	ovary	not applicable	not applicable	oocyte	57	cell	wAP0040_mTRAQ8	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	AC=UNIMOD:1302;NT=MTRAQ8	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	not available	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=PRIDE:0000590	5 ppm	10 ppm	1	wAP0040.raw	oocyte
MSV000093870-SC-0058	homo sapiens	ovary	not applicable	not applicable	oocyte	58	cell	wAP0041_mTRAQ0	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	AC=UNIMOD:888;NT=MTRAQ0	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	not available	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=PRIDE:0000590	5 ppm	10 ppm	1	wAP0041.raw	oocyte
MSV000093870-SC-0059	homo sapiens	ovary	not applicable	not applicable	oocyte	59	cell	wAP0041_mTRAQ4	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	AC=UNIMOD:889;NT=MTRAQ4	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	not available	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=PRIDE:0000590	5 ppm	10 ppm	1	wAP0041.raw	oocyte
MSV000093870-SC-0060	homo sapiens	ovary	not applicable	not applicable	oocyte	60	cell	wAP0041_mTRAQ8	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	AC=UNIMOD:1302;NT=MTRAQ8	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	not available	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=PRIDE:0000590	5 ppm	10 ppm	1	wAP0041.raw	oocyte
MSV000093870-SC-0061	homo sapiens	ovary	not applicable	not applicable	oocyte	61	cell	wAP0042_mTRAQ0	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	AC=UNIMOD:888;NT=MTRAQ0	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	not available	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=PRIDE:0000590	5 ppm	10 ppm	1	wAP0042.raw	oocyte
MSV000093870-SC-0062	homo sapiens	ovary	not applicable	not applicable	oocyte	62	cell	wAP0042_mTRAQ4	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	AC=UNIMOD:889;NT=MTRAQ4	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	not available	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=PRIDE:0000590	5 ppm	10 ppm	1	wAP0042.raw	oocyte
MSV000093870-SC-0063	homo sapiens	ovary	not applicable	not applicable	oocyte	63	cell	wAP0042_mTRAQ8	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	AC=UNIMOD:1302;NT=MTRAQ8	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	not available	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=PRIDE:0000590	5 ppm	10 ppm	1	wAP0042.raw	oocyte
MSV000093870-SC-0064	homo sapiens	ovary	not applicable	not applicable	oocyte	64	cell	wAP0043_mTRAQ0	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	AC=UNIMOD:888;NT=MTRAQ0	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	not available	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=PRIDE:0000590	5 ppm	10 ppm	1	wAP0043.raw	oocyte
MSV000093870-SC-0065	homo sapiens	ovary	not applicable	not applicable	oocyte	65	cell	wAP0043_mTRAQ4	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	AC=UNIMOD:889;NT=MTRAQ4	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	not available	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=PRIDE:0000590	5 ppm	10 ppm	1	wAP0043.raw	oocyte
MSV000093870-SC-0066	homo sapiens	ovary	not applicable	not applicable	oocyte	66	cell	wAP0043_mTRAQ8	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	AC=UNIMOD:1302;NT=MTRAQ8	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	not available	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=PRIDE:0000590	5 ppm	10 ppm	1	wAP0043.raw	oocyte
MSV000093870-SC-0067	homo sapiens	ovary	not applicable	not applicable	oocyte	67	cell	wAP0044_mTRAQ0	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	AC=UNIMOD:888;NT=MTRAQ0	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	not available	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=PRIDE:0000590	5 ppm	10 ppm	1	wAP0044.raw	oocyte
MSV000093870-SC-0068	homo sapiens	ovary	not applicable	not applicable	oocyte	68	cell	wAP0044_mTRAQ4	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	AC=UNIMOD:889;NT=MTRAQ4	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	not available	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=PRIDE:0000590	5 ppm	10 ppm	1	wAP0044.raw	oocyte
MSV000093870-SC-0069	homo sapiens	ovary	not applicable	not applicable	oocyte	69	cell	wAP0044_mTRAQ8	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	AC=UNIMOD:1302;NT=MTRAQ8	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	not available	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=PRIDE:0000590	5 ppm	10 ppm	1	wAP0044.raw	oocyte
MSV000093870-SC-0070	homo sapiens	ovary	not applicable	not applicable	oocyte	70	cell	wAP0045_mTRAQ0	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	AC=UNIMOD:888;NT=MTRAQ0	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	not available	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=PRIDE:0000590	5 ppm	10 ppm	1	wAP0045.raw	oocyte
MSV000093870-SC-0071	homo sapiens	ovary	not applicable	not applicable	oocyte	71	cell	wAP0045_mTRAQ4	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	AC=UNIMOD:889;NT=MTRAQ4	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	not available	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=PRIDE:0000590	5 ppm	10 ppm	1	wAP0045.raw	oocyte
MSV000093870-SC-0072	homo sapiens	ovary	not applicable	not applicable	oocyte	72	cell	wAP0045_mTRAQ8	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	AC=UNIMOD:1302;NT=MTRAQ8	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	not available	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=PRIDE:0000590	5 ppm	10 ppm	1	wAP0045.raw	oocyte
MSV000093870-SC-0073	homo sapiens	ovary	not applicable	not applicable	oocyte	73	cell	wAP0046_mTRAQ0	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	AC=UNIMOD:888;NT=MTRAQ0	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	not available	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=PRIDE:0000590	5 ppm	10 ppm	1	wAP0046.raw	oocyte
MSV000093870-SC-0074	homo sapiens	ovary	not applicable	not applicable	oocyte	74	cell	wAP0046_mTRAQ4	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	AC=UNIMOD:889;NT=MTRAQ4	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	not available	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=PRIDE:0000590	5 ppm	10 ppm	1	wAP0046.raw	oocyte
MSV000093870-SC-0075	homo sapiens	ovary	not applicable	not applicable	oocyte	75	cell	wAP0046_mTRAQ8	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	AC=UNIMOD:1302;NT=MTRAQ8	1	NT=Data-Independent Acquisition;AC=NCIT:C161786	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;TA=N-term;AC=UNIMOD:1	not available	NT=Trypsin;AC=MS:1001251	NT=HCD;AC=PRIDE:0000590	5 ppm	10 ppm	1	wAP0046.raw	oocyte
